,ST,LPS,ACF,PS,EE,Flat-COTE,HIVE-COTE,BOSS,PISD-F,PISD,,,,,,,,,,,
Adiac,0.217,0.23,0.335,0.248,0.335,0.21,0.189,0.235,0.34,0.338,,,,,,,,,,,
ArrowHead,0.263,0.217,0.354,0.526,0.189,0.189,0.137,0.166,0.171,0.171,,,,,,,,,,,
Beef,0.1,0.4,0.267,0.267,0.367,0.133,0.067,0.2,0.367,0.367,,,,,,,,,,,
BeetleFly,0.1,0.2,0.35,0.15,0.25,0.2,0.05,0.1,0.25,0.2,,,,,,,,,,,
BirdChicken,0.2,0,0.15,0.05,0.2,0.1,0.15,0.05,0.35,0.35,,,,,,,,,,,
Car,0.083,0.15,0.417,0.3,0.167,0.1,0.133,0.167,0.167,0.133,,,,,,,,,,,
CBF,0.026,0.001,0.401,0.444,0.002,0.004,0.001,0.002,0.007,0.013,,,,,,,,,,,
ChlorineConcentration,0.3,0.392,0.338,0.278,0.344,0.273,0.288,0.339,0.339,0.339,,,,,,,,,,,
CinCECGTorso,0.046,0.264,0.202,0.13,0.058,0.005,0.004,0.113,0.041,0.022,,,,,,,,,,,
Coffee,0.036,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Computers,0.264,0.32,0.4,0.34,0.292,0.26,0.24,0.244,0.396,0.396,,,,,,,,,,,
CricketX,0.228,0.303,0.433,0.431,0.187,0.192,0.177,0.264,0.254,0.221,,,,,,,,,,,
CricketY,0.221,0.233,0.449,0.513,0.195,0.174,0.151,0.246,0.221,0.223,,,,,,,,,,,
CricketZ,0.213,0.246,0.369,0.426,0.218,0.185,0.169,0.254,0.233,0.205,,,,,,,,,,,
DiatomSizeReduction,0.075,0.095,0.111,0.127,0.056,0.072,0.059,0.069,0.056,0.056,,,,,,,,,,,
DistalPhalanxOutlineCorrect,0.225,0.279,0.239,0.275,0.272,0.239,0.228,0.272,0.245,0.243,,,,,,,,,,,
DistalPhalanxOutlineAgeGroup,0.23,0.331,0.288,0.295,0.309,0.252,0.237,0.252,0.217,0.217,,,,,,,,,,,
DistalPhalanxTW,0.338,0.432,0.309,0.324,0.353,0.302,0.317,0.324,0.268,0.268,,,,,,,,,,,
Earthquakes,0.259,0.36,0.252,0.252,0.259,0.252,0.252,0.252,0.304,0.258,,,,,,,,,,,
ECG200,0.17,0.14,0.18,0.14,0.12,0.12,0.15,0.13,0.08,0.07,,,,,,,,,,,
ECG5000,0.056,0.083,0.09,0.064,0.061,0.054,0.054,0.059,0.074,0.075,,,,,,,,,,,
ECGFiveDays,0.016,0.121,0.019,0,0.18,0.001,0,0,0.13,0.053,,,,,,,,,,,
ElectricDevices,0.253,0.319,0.374,0.403,0.337,0.287,0.23,0.201,0.405,0.393,,,,,,,,,,,
FaceAll,0.221,0.233,0.291,0.18,0.151,0.082,0.197,0.218,0.241,0.241,,,,,,,,,,,
FaceFour,0.148,0.057,0.341,0.489,0.091,0.102,0.045,0,0.091,0.091,,,,,,,,,,,
FacesUCR,0.094,0.074,0.307,0.2,0.055,0.058,0.037,0.043,0.046,0.045,,,,,,,,,,,
FiftyWords,0.295,0.182,0.571,0.582,0.18,0.202,0.191,0.295,0.207,0.196,,,,,,,,,,,
Fish,0.011,0.057,0.383,0.189,0.034,0.017,0.011,0.011,0.114,0.109,,,,,,,,,,,
FordA,0.029,0.127,0.064,0.062,0.262,0.043,0.036,0.07,0.241,0.206,,,,,,,,,,,
FordB,0.193,0.289,0.22,0.21,0.338,0.196,0.177,0.289,0.314,0.312,,,,,,,,,,,
GunPoint,0,0.007,0.273,0.107,0.007,0,0,0,0.027,0.013,,,,,,,,,,,
Ham,0.314,0.438,0.314,0.4,0.429,0.352,0.333,0.333,0.39,0.467,,,,,,,,,,,
HandOutlines,0.068,0.119,0.314,0.254,0.111,0.081,0.068,0.097,0.21,0.19,,,,,,,,,,,
Haptics,0.477,0.568,0.568,0.552,0.607,0.477,0.481,0.539,0.604,0.604,,,,,,,,,,,
Herring,0.328,0.422,0.328,0.438,0.422,0.375,0.313,0.453,0.438,0.438,,,,,,,,,,,
InlineSkate,0.627,0.5,0.54,0.571,0.54,0.505,0.5,0.484,0.596,0.509,,,,,,,,,,,
InsectWingbeatSound,0.373,0.449,0.442,0.417,0.405,0.347,0.345,0.477,0.424,0.432,,,,,,,,,,,
ItalyPowerDemand,0.052,0.077,0.21,0.103,0.038,0.039,0.037,0.091,0.043,0.043,,,,,,,,,,,
LargeKitchenAppliances,0.141,0.283,0.221,0.267,0.189,0.155,0.136,0.235,0.485,0.485,,,,,,,,,,,
Lightning2,0.262,0.18,0.361,0.262,0.115,0.131,0.18,0.164,0.213,0.164,,,,,,,,,,,
Lightning7,0.274,0.26,0.425,0.397,0.233,0.192,0.26,0.315,0.425,0.274,,,,,,,,,,,
Mallat,0.036,0.092,0.178,0.116,0.06,0.046,0.038,0.062,0.056,0.056,,,,,,,,,,,
Meat,0.15,0.117,0.15,0.133,0.067,0.083,0.067,0.1,0.067,0.067,,,,,,,,,,,
MedicalImages,0.33,0.254,0.322,0.338,0.258,0.242,0.222,0.282,0.257,0.271,,,,,,,,,,,
MiddlePhalanxOutlineCorrect,0.206,0.227,0.289,0.21,0.216,0.196,0.168,0.22,0.252,0.252,,,,,,,,,,,
MiddlePhalanxOutlineAgeGroup,0.357,0.513,0.39,0.383,0.442,0.364,0.403,0.455,0.265,0.265,,,,,,,,,,,
MiddlePhalanxTW,0.481,0.474,0.429,0.422,0.487,0.429,0.429,0.455,0.421,0.421,,,,,,,,,,,
MoteStrain,0.103,0.078,0.257,0.312,0.117,0.063,0.067,0.121,0.197,0.209,,,,,,,,,,,
NonInvasiveFetalECGThorax1,0.05,0.188,0.279,0.125,0.154,0.069,0.07,0.162,0.13,0.133,,,,,,,,,,,
NonInvasiveFetalECGThorax2,0.049,0.159,0.248,0.116,0.087,0.054,0.055,0.099,0.118,0.098,,,,,,,,,,,
OliveOil,0.1,0.133,0.2,0.167,0.133,0.1,0.1,0.133,0.167,0.167,,,,,,,,,,,
OSULeaf,0.033,0.26,0.223,0.178,0.194,0.033,0.021,0.045,0.351,0.252,,,,,,,,,,,
PhalangesOutlinesCorrect,0.237,0.244,0.265,0.253,0.227,0.23,0.193,0.228,0.248,0.245,,,,,,,,,,,
Phoneme,0.679,0.763,0.77,0.78,0.695,0.651,0.618,0.735,0.778,0.73,,,,,,,,,,,
Plane,0,0,0.029,0,0,0,0,0,0,0,,,,,,,,,,,
ProximalPhalanxOutlineCorrect,0.117,0.158,0.182,0.131,0.192,0.131,0.12,0.151,0.203,0.203,,,,,,,,,,,
ProximalPhalanxOutlineAgeGroup,0.156,0.205,0.161,0.166,0.195,0.146,0.141,0.166,0.21,0.21,,,,,,,,,,,
ProximalPhalanxTW,0.195,0.268,0.249,0.21,0.234,0.22,0.185,0.2,0.263,0.263,,,,,,,,,,,
RefrigerationDevices,0.419,0.541,0.504,0.493,0.563,0.453,0.443,0.501,0.536,0.504,,,,,,,,,,,
ScreenType,0.48,0.584,0.496,0.507,0.555,0.453,0.411,0.536,0.597,0.597,,,,,,,,,,,
ShapeletSim,0.044,0.133,0.078,0.233,0.183,0.039,0,0,0.2,0.083,,,,,,,,,,,
ShapesAll,0.158,0.127,0.383,0.262,0.133,0.108,0.095,0.092,0.152,0.122,,,,,,,,,,,
SmallKitchenAppliances,0.208,0.288,0.301,0.32,0.304,0.224,0.147,0.275,0.456,0.451,,,,,,,,,,,
SonyAIBORobotSurface1,0.156,0.226,0.113,0.121,0.296,0.155,0.235,0.368,0.166,0.166,,,,,,,,,,,
SonyAIBORobotSurface2,0.066,0.128,0.076,0.095,0.122,0.048,0.072,0.141,0.122,0.122,,,,,,,,,,,
StarLightCurves,0.021,0.037,0.036,0.046,0.074,0.02,0.018,0.022,0.063,0.056,,,,,,,,,,,
Strawberry,0.038,0.038,0.13,0.059,0.054,0.049,0.03,0.024,0.052,0.052,,,,,,,,,,,
SwedishLeaf,0.072,0.08,0.118,0.098,0.085,0.045,0.046,0.078,0.086,0.085,,,,,,,,,,,
Symbols,0.118,0.037,0.103,0.201,0.04,0.036,0.026,0.033,0.042,0.042,,,,,,,,,,,
SyntheticControl,0.017,0.02,0.34,0.347,0.01,0,0.003,0.033,0.043,0.06,,,,,,,,,,,
ToeSegmentation1,0.035,0.123,0.11,0.303,0.171,0.026,0.018,0.061,0.211,0.136,,,,,,,,,,,
ToeSegmentation2,0.092,0.131,0.169,0.254,0.108,0.085,0.046,0.038,0.131,0.1,,,,,,,,,,,
Trace,0,0.02,0,0.05,0.01,0,0,0,0.01,0.01,,,,,,,,,,,
TwoLeadECG,0.003,0.052,0.196,0.04,0.029,0.007,0.004,0.019,0.078,0.077,,,,,,,,,,,
TwoPatterns,0.045,0.018,0.586,0.534,0,0,0,0.007,0.009,0.006,,,,,,,,,,,
UWaveGestureLibraryX,0.197,0.171,0.527,0.552,0.195,0.178,0.16,0.238,0.2,0.188,,,,,,,,,,,
UWaveGestureLibraryY,0.27,0.239,0.518,0.553,0.274,0.241,0.235,0.315,0.264,0.264,,,,,,,,,,,
UWaveGestureLibraryZ,0.252,0.232,0.523,0.534,0.276,0.25,0.217,0.305,0.267,0.264,,,,,,,,,,,
UWaveGestureLibraryAll,0.058,0.034,0.468,0.34,0.032,0.036,0.032,0.061,0.026,0.029,,,,,,,,,,,
Wafer,0,0.003,0.004,0.005,0.003,0,0.001,0.005,0.004,0.004,,,,,,,,,,,
Wine,0.204,0.37,0.296,0.519,0.426,0.352,0.222,0.259,0.389,0.389,,,,,,,,,,,
WordSynonyms,0.429,0.245,0.635,0.625,0.221,0.243,0.262,0.362,0.284,0.23,,,,,,,,,,,
Worms,0.26,0.299,0.247,0.312,0.338,0.377,0.442,0.442,0.547,0.514,,,,,,,,,,,
WormsTwoClass,0.169,0.247,0.234,0.182,0.312,0.195,0.221,0.169,0.359,0.354,,,,,,,,,,,
Yoga,0.182,0.131,0.25,0.305,0.121,0.123,0.082,0.082,0.144,0.137,,,,,,,,,,,
